Kurskod,Kursnamn,Poäng,Ämne
"HAVFRI06a","Frisör 6a","100","Hantverk"
"HAVFRI06b","Frisör 6b","50","Hantverk"
"HAVHAR02","Hår- och makeupstylist 2","200","Hantverk"
"HAVHAR03","Hår- och makeupstylist 3","200","Hantverk"
"HAVHAR04","Hår- och makeupstylist 4","200","Hantverk"
"HAVHAR05","Hår- och makeupstylist 5","200","Hantverk"
"HAVHAV0","Hantverk – introduktion","200","Hantverk"
"HAVHNT01","Hantverksteknik 1","200","Hantverk"
"HAVHNT02","Hantverksteknik 2","200","Hantverk"
"HAVHNT03","Hantverksteknik 3","200","Hantverk"
"HAVHNT04","Hantverksteknik 4","200","Hantverk"
"HAVHNT04S","Hantverksteknik 4 – specialisering","50","Hantverk"
"HAVHNT05","Hantverksteknik 5","200","Hantverk"
"HAVHNT05S","Hantverksteknik 5 – specialisering","50","Hantverk"
"HAVHNT06a","Hantverksteknik 6a","100","Hantverk"
"HAVHNT06b","Hantverksteknik 6b","50","Hantverk"
